Date,Open,High,Low,Close,Adj Close,Volume
2002-07-30,81.750000,81.900002,81.519997,81.519997,44.323299,6100
2002-07-31,81.949997,82.800003,81.900002,82.529999,44.872459,29400
2002-08-01,82.540001,83.019997,82.540001,83.000000,45.128033,25000
2002-08-02,83.160004,84.099998,82.879997,83.849998,45.590153,52800
2002-08-05,84.040001,84.440002,83.849998,84.220001,45.791321,61100
2002-08-06,83.870003,83.900002,83.220001,83.500000,45.399849,64900
2002-08-07,83.599998,84.139999,83.360001,83.699997,45.508617,40300
2002-08-08,83.580002,83.769997,83.360001,83.699997,45.508617,40900
2002-08-09,84.000000,84.879997,84.000000,84.879997,46.150188,35900
2002-08-12,85.300003,86.699997,85.139999,85.400002,46.432884,32100
2002-08-13,85.779999,86.470001,85.370003,86.449997,47.003841,75400
2002-08-14,87.459999,87.900002,86.750000,86.779999,47.183250,130000
2002-08-15,86.379997,86.500000,85.849998,86.019997,46.770004,87100
2002-08-16,86.440002,86.519997,84.820000,85.059998,46.248051,85000
2002-08-19,85.050003,85.339996,84.709999,85.320000,46.389420,47300
2002-08-20,85.620003,86.290001,85.599998,86.269997,46.905914,40800
2002-08-21,85.680000,86.099998,85.629997,85.809998,46.655880,40000
2002-08-22,85.550003,85.550003,85.059998,85.059998,46.248051,34400
2002-08-23,85.199997,85.949997,85.199997,85.900002,46.704762,20100
2002-08-26,85.699997,86.209999,85.669998,85.980003,46.748230,23900
2002-08-27,85.400002,85.680000,85.199997,85.440002,46.454662,301800
2002-08-28,86.040001,86.180000,85.839996,85.870003,46.688461,18100
2002-08-29,86.760002,86.860001,86.349998,86.559998,47.063599,135700
2002-08-30,86.750000,87.129997,86.449997,87.080002,47.346352,78100
2002-09-03,87.080002,88.040001,87.000000,88.040001,48.074196,102100
2002-09-04,88.029999,88.300003,87.839996,88.019997,48.063274,66300
2002-09-05,88.570000,88.650002,87.379997,88.500000,48.325428,648400
2002-09-06,87.970001,88.190002,87.199997,87.459999,47.757481,140000
2002-09-09,87.500000,87.830002,87.260002,87.330002,47.686523,83800
2002-09-10,87.169998,88.000000,87.000000,87.750000,47.915848,336000
2002-09-11,87.000000,87.300003,86.750000,87.290001,47.664684,177700
2002-09-12,87.480003,88.139999,87.470001,87.970001,48.035995,43400
2002-09-13,88.330002,88.940002,88.180000,88.779999,48.478260,155100
2002-09-16,89.199997,89.220001,88.900002,88.930000,48.560207,73000
2002-09-17,88.639999,89.320000,88.360001,89.099998,48.653049,75400
2002-09-18,89.160004,89.559998,89.019997,89.120003,48.663994,196600
2002-09-19,89.699997,89.769997,89.260002,89.720001,48.991581,109900
2002-09-20,89.449997,89.519997,89.059998,89.300003,48.762245,113500
2002-09-23,90.000000,90.239998,89.769997,90.099998,49.199089,163200
2002-09-24,90.300003,90.940002,90.209999,90.680000,49.515808,251900
2002-09-25,90.099998,90.360001,89.260002,89.580002,48.915146,127200
2002-09-26,89.050003,89.529999,88.610001,89.370003,48.800472,429000
2002-09-27,89.529999,90.040001,89.480003,90.040001,49.166317,298200
2002-09-30,90.660004,90.900002,90.080002,90.400002,49.362900,297800
2002-10-01,89.160004,89.300003,88.800003,88.940002,48.750652,257500
